ltr_datetime,resource_agency,resource_link,rn_url
2020-09-21T15:16:42Z,ClinicalTrials.gov,https://clinicaltrials.gov/search/intervention=LOXO-292+OR+Selpercatinib,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,DailyMed,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=SELPERCATINIB,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,DailyMed Mob,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=SELPERCATINIB,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,DrugPortal,https://druginfo.nlm.nih.gov/drugportal/rn/2152628-33-4,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,PubChem,https://pubchem.ncbi.nlm.nih.gov/#query=2152628-33-4,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,PubMed,https://www.ncbi.nlm.nih.gov/sites/entrez?cmd=search&db=pubmed&cmd_current=Limits&term=Selpercatinib,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,PubMed Mob,https://www.ncbi.nlm.nih.gov/m/pubmed/?term=Selpercatinib,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,USA.gov,https://search.usa.gov/search?utf8=?&m=false&affiliate=usagov&query=Selpercatinib,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,USA.gov Mob,https://search.usa.gov/search?utf8=?&m=true&affiliate=usagov&query=Selpercatinib,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T15:16:42Z,NA,http://www.google.com/search?q=%22XIIOFHFUYBLOLW-UHFFFAOYSA-N%22,https://chem.nlm.nih.gov/chemidplus/rn/2152628-33-4
2020-09-21T16:30:48Z,ClinicalTrials.gov,https://clinicaltrials.gov/search/intervention=adenosine+triphosphate,https://chem.nlm.nih.gov/chemidplus/rn/56-65-5
